seqlen,method,rep,ms
8192,contiguous,33,2.0690879821777344
8192,vmm_paged,33,2.0668160915374756
8192,contiguous,34,2.0665600299835205
8192,vmm_paged,34,2.076575994491577
8192,contiguous,35,2.076159954071045
8192,vmm_paged,35,2.068608045578003
8192,contiguous,36,2.0675199031829834
8192,vmm_paged,36,2.0791358947753906
8192,contiguous,37,2.0700159072875977
8192,vmm_paged,37,2.07043194770813
8192,contiguous,38,2.0759360790252686
8192,vmm_paged,38,2.073888063430786
8192,contiguous,39,2.076064109802246
8192,vmm_paged,39,2.0700480937957764
8192,contiguous,40,2.0642240047454834
8192,vmm_paged,40,2.0700480937957764
8192,contiguous,41,2.065984010696411
8192,vmm_paged,41,2.066272020339966
8192,contiguous,42,2.067039966583252
8192,vmm_paged,42,2.0687360763549805
8192,contiguous,43,2.065023899078369
8192,vmm_paged,43,2.0687999725341797
8192,contiguous,44,2.0673279762268066
8192,vmm_paged,44,2.066783905029297
8192,contiguous,45,2.0677759647369385
8192,vmm_paged,45,2.0664000511169434
8192,contiguous,46,2.0657920837402344
8192,vmm_paged,46,2.0787200927734375
8192,contiguous,47,2.0792319774627686
8192,vmm_paged,47,2.0716159343719482
8192,contiguous,48,2.0675199031829834
8192,vmm_paged,48,2.092832088470459
8192,contiguous,49,2.069567918777466
8192,vmm_paged,49,2.075007915496826
